stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
111,3,Americká,,50.75791549682617,15.033920288085938,1,,1,,,2,,
211,106,Kunratice Mšenská,,50.752410888671875,15.116671562194824,1,,1,,,2,,
311,71,Kynologické cvičiště,,50.757259368896484,15.10321044921875,1,,1,,,2,,
411,69,Kunratická sídliště,,50.76077651977539,15.095887184143066,1,,1,,,2,,
511,164,Východní,,50.760276794433594,15.091669082641602,1,,1,,,2,,
611,167,Ječná,,50.76249313354492,15.085653305053711,1,,1,,,2,,
811,161,Textilana,,50.765098571777344,15.068435668945312,1,,1,,,2,,
911,28,Fügnerova,,50.76551055908203,15.057374000549316,1,,1,,,1,,
1011,103,Babylon,,50.75944519042969,15.052877426147461,1,,1,,,2,,
1111,99,Nádraží,,50.76184844970703,15.046934127807617,1,,1,,,1,,
1211,185,Viadukt,,50.76485061645508,15.042624473571777,1,,1,,,1,,
1311,27,Františkov škola,,50.762149810791016,15.03576946258545,1,,1,,,2,,
1411,26,Františkov sídliště,,50.760318756103516,15.031692504882812,1,,1,,,2,,
1511,168,Domažlická,,50.756927490234375,15.031499862670898,1,,1,,,2,,
1611,181,Husitská,,50.75511169433594,15.028990745544434,1,,1,,,2,,
1711,68,Kubelíkova,,50.75056076049805,15.03243350982666,1,,1,,,2,,
1811,119,Banskobystrická,,50.7459716796875,15.035826683044434,1,,1,,,2,,
1911,221,Kavkazská,,50.74376678466797,15.037195205688477,1,,1,,,2,,
2011,11,České mládeže,,50.743446350097656,15.031303405761719,1,,1,,,2,,
2111,244,Průmyslová,,50.74298858642578,15.03594970703125,1,,1,,,2,,
2211,222,U Slunného potoka,,50.73625183105469,15.037126541137695,1,,1,,,2,,
2311,227,Prům. zóna Jih,,50.73395919799805,15.04165267944336,1,,1,,,2,,
2411,199,Liplastec,,50.73453140258789,15.034133911132812,1,,1,,,2,,
