from_stop_id,to_stop_id,transfer_type,min_transfer_time
8652,8662,2,60
8652,9062,2,300
8652,9072,2,300
8662,8652,2,60
8662,9062,2,240
8662,9072,2,240
9512,9502,2,360
9512,9492,2,300
9512,9472,2,120
8962,8972,2,60
8962,9852,2,300
8962,9862,2,300
8972,8962,2,60
8972,9852,2,240
8972,9862,2,240
10792,10802,2,60
10792,10772,2,360
10802,10792,2,60
10802,10772,2,360
10802,10782,2,360
9132,9142,2,60
9132,9152,2,360
9132,9162,2,300
9142,9132,2,60
9142,9152,2,360
9142,9162,2,360
13852,13862,2,60
13852,13872,2,360
13852,13882,2,300
13862,13852,2,60
13862,13872,2,360
13862,13882,2,360
13872,13852,2,360
13872,13862,2,360
13872,13882,2,60
13882,13852,2,300
13882,13862,2,360
13882,13872,2,60
10882,10892,2,60
10882,13932,2,60
10892,10882,2,60
10892,13932,2,60
13932,10882,2,60
13932,10892,2,60
12582,12592,2,120
12592,12582,2,120
12592,12562,2,360
12592,12572,2,360
13332,13342,2,60
13342,13332,2,60
9662,9672,2,300
9662,9682,2,360
11072,11082,2,60
11072,11092,2,120
11082,11072,2,60
11082,11092,2,120
11092,11072,2,120
11092,11082,2,120
11212,11222,2,60
11212,9472,2,360
11222,11212,2,60
9172,9182,2,60
9182,9172,2,60
10322,10332,2,60
10332,10322,2,60
9802,9812,2,60
9812,9802,2,60
12822,12832,2,60
12822,12842,2,60
12832,12822,2,60
12832,12842,2,60
12842,12822,2,60
12842,12832,2,60
9062,8652,2,300
9062,8662,2,240
9062,9072,2,60
9062,9092,2,360
9062,9102,2,360
9072,8652,2,300
9072,8662,2,240
9072,9062,2,60
9072,9092,2,360
9072,9102,2,360
11692,11702,2,60
11692,11672,2,300
11692,11682,2,300
11702,11692,2,60
11702,11672,2,300
11702,11682,2,300
11332,11342,2,120
11332,11542,2,360
11332,11552,2,360
11342,11332,2,120
11372,11382,2,120
11382,11372,2,120
11352,11362,2,120
11352,11552,2,360
11362,11352,2,120
11362,11542,2,300
11362,11552,2,300
11522,11532,2,60
11532,11522,2,60
11532,11542,2,360
11532,11552,2,360
11312,11322,2,120
